Genes,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
ST7-AS1,1.23921,1.12645,1.75759,1.11909,0.709741,0.961469
ST7-AS2,0.507806,0.27939,0.501979,0.138782,0.900484,0.503436
ST7-OT3,0.284052,0.344622,1.21E-09,7.36E-11,0.316808,0.306452
ST7-OT4,0.663133,0.21891,0.458867,0.362465,0.873542,0.657426
ST7L,5.3033,5.81085,5.52414,7.17836,7.66256,8.43634
ST8SIA1,0.792342,0.556741,0.660572,0.166974,0.164446,0.236603
ST8SIA2,0.30136,0.38688,0.397203,0.219629,0.254475,0.18258
ST8SIA3,0,0,0,0,0,0.0180931
ST8SIA4,0.475043,0.587981,0.689608,0.486781,0.646733,0.397308
ST8SIA5,0.0375161,0.082564,0,0.0410122,0,0
ST8SIA6,0.0759673,0,0,0,0,0
ST8SIA6-AS1,0,0,0,0,0,0
STAB1,0.0235127,0.0388094,0.0116214,0.359853,0.34547,0.547793
STAB2,0.0113111,0,0.0111813,0.234939,0.206309,0.246703
STAC,0.789477,1.2307,0.845452,0.395564,0.333325,0.163059
STAC2,0.53163,0.844994,0.875882,1.06548,1.19712,1.05411
STAC3,0.882619,0.832472,0.560887,0.620273,0.447181,0.937524
STAG1,9.87874,9.421,9.63879,12.4792,11.7712,11.1902
STAG2,14.7787,14.5913,13.8107,17.5042,18.0923,15.1361
STAG3,0.40836,0.349496,0.4261,0.372012,0.29885,0.134948
STAG3L1,0.0501028,0.275661,0.346695,0.164316,0.507694,0
STAG3L2,1.68342,1.45546,2.08012,1.70884,2.25411,2.08616
STAG3L3,0.460324,0.506532,0.657282,0.503221,0.621931,1.06485
STAG3L4,6.81551,4.98721,5.5786,6.57847,6.28545,6.00941
STAM,8.34607,8.42283,8.53382,9.28129,9.40763,8.51882
STAM2,6.57252,7.06874,6.17061,7.00448,7.31257,6.84339
STAMBP,7.16406,6.98799,6.29198,6.97272,6.44105,6.25819
STAMBPL1,8.54576,7.92438,8.35278,4.40865,4.47568,3.95053
STAP1,0,0,0,0,0,0
STAP2,8.60138,9.13725,8.52346,2.63053,1.655,2.60463
STAR,13.4071,12.4678,12.2808,18.2807,16.871,17.1925
STARD10,15.2582,14.887,16.7422,15.5681,15.5127,15.5302
STARD13,2.97193,2.79987,3.67035,3.08393,2.93495,2.64233
STARD13-AS,0.205326,0.451874,0.60891,0.22446,0,0.203559
STARD3,27.261,29.9216,30.5641,21.2383,23.9522,23.3317
STARD3NL,23.2705,23.143,23.5858,25.8255,28.7737,26.2242
STARD4,13.8318,14.3962,10.7991,15.3615,17.7206,14.6298
STARD4-AS1,5.49331,5.55665,5.53146,4.66244,4.59833,4.41433
STARD5,6.44349,6.10304,4.99889,9.8972,9.50455,9.54162
STARD6,0,0,0,0.215681,0.39984,0
STARD7,31.6739,29.4743,26.9303,30.0004,31.8925,29.8142
STARD8,1.54682,1.71963,1.78065,2.29189,1.96421,2.40703
STARD9,2.17824,2.28647,2.33414,1.67138,1.54924,1.55671
STAT1,18.8327,18.7896,21.3012,21.8217,20.3752,19.1795
STAT2,29.4708,29.5934,30.6789,28.5871,28.8601,28.0746
STAT3,44.5563,44.4722,45.2845,52.9962,54.1589,55.7196
STAT4,0.352974,0.388406,0.383817,0.347278,0.0715195,0.349936
STAT5A,4.25484,3.85285,4.5127,3.65809,3.32341,4.15231
STAT5B,11.1194,11.9496,11.4689,12.2571,11.7,12.7904
STAT6,28.8839,29.4704,28.7442,31.5395,30.4853,31.1614
STATH,0,0,0,0,0,0.245106
STAU1,53.3794,52.0242,54.2092,43.7342,45.5252,43.935
STAU2,12.8075,12.384,12.2438,9.82835,9.99757,11.0286
STAU2-AS1,0.292075,0.160697,0.240603,0.106431,0.295961,0.144781
STBD1,3.91119,3.48042,3.42923,3.00537,3.27841,3.79212
STC1,1.38387,1.63155,1.49013,0.864473,1.17691,0.95547
STC2,4.18637,5.17028,4.53994,7.18336,8.21565,9.54404
STEAP1,0,0.179986,0.0808451,0.268215,0.248615,0.0810797
STEAP1B,0.0828659,0,0,0,0.0839684,0.16438
STEAP2,0.258503,0.256787,0.345568,0.72651,0.552987,0.42721
STEAP3,1.93147,2.31638,1.97615,3.16762,3.63135,4.3491
STEAP4,0.145576,0.13349,0.191874,0.26523,0.193902,0.336732
STH,0,0,0,0,0,0
STIL,3.20652,3.38309,3.82275,3.7532,3.00067,2.50562
STIM1,14.2043,16.0735,16.4756,13.9497,13.626,13.6125
STIM2,3.08083,3.14794,3.02216,2.16506,2.41566,2.1089
STIP1,75.3834,64.9004,71.3741,68.2017,64.5531,70.6803
STK10,8.14893,7.62705,8.02456,8.24276,8.0517,9.13121
STK11,22.8971,23.7,25.993,22.6408,22.3036,27.0936
STK11IP,5.69115,6.67405,5.88996,5.11156,5.27952,5.29781
STK16,8.21038,6.79882,8.07352,8.52465,6.68505,8.06956
STK17A,3.99191,4.82118,4.28297,3.19311,4.31633,4.41605
STK17B,4.03801,4.09102,4.36095,3.57812,4.16384,3.40365
